damageLevel,hurt,collapse,deltaP,ammoQuantity,outerSideLength,outerSideWidth,outerHeight,roofThick,wallThick,soilThick,liningPlateThick
2,0.1998,0.0832,2.79E-06,7,4.5,7,6.5,1.5,0.5,2,0.45
1,9.30E-07,0,1.86E-06,2,10,7,6.5,1.5,1.5,2,0.45
2,0.17655,0.0677,1.41E-06,14,10.5,7,5.5,1.5,1,2,0.4
4,1,0.3301,0.34945062,8,6,7,3.5,1.5,1,2,0.2
4,1,0.2828,0.45244943,19,10,7,2,1.5,0.5,2,0.35
2,0.1632,0.0588,6.18E-06,3,10,7,3,1.5,1,2,0.2
2,0.276,0.134,7.47E-06,4,5,7,5,1.5,1,2,0.3
4,1,0.6159,0.39127005,25,6.5,7,3,1.5,1,2,0.25
2,0.23775,0.1085,1.21E-05,4,7,7,3,1.5,1,2,0.25
1,2.50E-05,0,5.01E-05,6,7.5,7,2,1.5,1,2,0.3
2,0.2478,0.1152,4.77E-06,5,4,7,5.5,1.5,0.5,2,0.25
4,1,0.6375,0.95765771,22,6,7,2,1.5,1.5,2,0.2
4,0.92376448,0.0738,0.12376448,6,10,7,7.5,1.5,1.5,2,0.2
3,0.32306667,0.1673,3.48E-06,14,6,7,6,1.5,1,2,0.45
2,0.156,0.054,2.68E-06,5,9,7,6,1.5,1.5,2,0.45
4,1,0.1308,0.45244943,4,10,7,2,1.5,0.5,2,0.1
2,0.22755,0.1017,7.18E-06,4,6,7,6,1.5,1.5,2,0.25
4,1,0.2581,0.22636781,21,7.5,7,3.5,1.5,0.5,2,0.45
4,1,0.236,0.32473456,15,4,7,4,1.5,0.5,2,0.25
3,0.35813333,0.1936,1.10E-05,16,6,7,3.5,1.5,1,2,0.45
4,0.98339908,0.2619,0.18339908,17,8,7,5,1.5,1,2,0.3
1,1.39E-06,0,2.79E-06,4,8,7,4,1.5,0.5,2,0.3
3,0.40186667,0.2264,1.03E-05,6,4.5,7,3.5,1.5,0.5,2,0.35
4,1,0.4083,0.25444306,13,6.5,7,3.5,1.5,0.5,2,0.15
3,0.44666667,0.26,9.14E-05,3,7.5,7,2,1.5,1.5,2,0.15
2,0.19245,0.0783,1.78E-06,5,5,7,7.5,1.5,0.5,2,0.25
1,1.14E-05,0,2.27E-05,2,9,7,2.5,1.5,1.5,2,0.25
4,0.99150968,0.0959,0.19150968,10,6.5,7,4.5,1.5,0.5,2,0.3
1,7.38E-06,0,1.48E-05,2,8.5,7,2.5,1.5,1,2,0.3
2,0.19785,0.0819,1.14E-05,5,9.5,7,3,1.5,1.5,2,0.35
4,0.91338065,0.2428,0.11338065,17,9.5,7,6.5,1.5,1,2,0.1
1,1.71E-05,0,3.42E-05,3,7.5,7,2.5,1.5,1.5,2,0.35
1,6.38E-06,0,1.28E-05,3,7.5,7,3.5,1.5,1.5,2,0.45
3,0.31666667,0.1625,1.28E-05,7,6,7,4.5,1.5,1.5,2,0.4
2,0.1515,0.051,1.43E-06,5,9,7,5,1.5,0.5,2,0.35
4,0.98339908,0.0998,0.18339908,11,6,7,5,1.5,0.5,2,0.4
4,1,0.3804,0.75061148,15,6,7,2,1.5,1,2,0.25
2,0.2994,0.1496,2.83E-06,22,9.5,7,5.5,1.5,1.5,2,0.45
2,0.2076,0.0884,3.83E-06,10,10,7,4.5,1.5,1.5,2,0.45
2,0.186,0.074,2.53E-06,9,7,7,6,1.5,1,2,0.4
